Employee_ID,Gender,Job_Level_after_FY20_promotions,New_hire_FY20?,FY20_Performance_Rating,Promotion_in_FY21,In_base_group_for_Promotion_FY21,Target_hire_balance,FY20_leaver,In_base_group_for_turnover_FY20,Department_01.07.2020,Leaver_FY,Job_Level_after_FY21_promotions,Last_Department_in_FY20,FTE_group,Time_type,Department_&_JL_group_PRA_status,Department_&_JL_group_for_PRA,Job_Level_group_PRA_status,Job_Level_group_for_PRA,Time_in_Job_Level_01.07.2020,Job_Level_before_FY20_promotions,Promotion_in_FY20,FY19_Performance_Rating,Age_group,Age_01.07.2020,Nationality_1,Region_group_nationality_1,Broad_region_group_nationality_1,Last_hire_date,Years_since_last_hire,Rand
178,Male,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,5 - Senior Officer,Internal Services,0.9,Part Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,2,5 - Senior Officer,N,4,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.899900652
179,Male,5 - Senior Officer,N,2,Yes,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,30 to 39,33,Germany,Europe,Europe,01-04-2015,5,0.58776042
180,Male,3 - Senior Manager,N,2,No,No,0.5,Yes,Y,HR,FY20,not promotion,HR,Full Time,Full Time,NA,NA,NA,NA,2,3 - Senior Manager,N,3,30 to 39,34,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.459967928
181,Female,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,1,6 - Junior Officer,Y,2,20 to 29,29,Italy,Europe,Europe,01-04-2012,8,0.735580404
182,Female,6 - Junior Officer,N,3,No,No,0.5,Yes,Y,Internal Services,FY20,not promotion,Internal Services,Full Time,Full Time,NA,NA,NA,NA,2,6 - Junior Officer,N,3,40 to 49,44,Germany,Europe,Europe,01-04-2018,2,0.466897574
183,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,0.6,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,0,20 to 29,28,United States,Americas,Elsewhere,01-04-2017,3,0.901705302
184,Male,6 - Junior Officer,Y,0,No,No,0.5,No,N,Internal Services,not leave,6 - Junior Officer,Internal Services,0.8,Part Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.972169505
185,Male,6 - Junior Officer,Y,0,No,No,0.5,No,N,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,25,Germany,Europe,Europe,01-04-2020,0,0.162791553
186,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,28,Germany,Europe,Europe,01-04-2018,2,0.015971748
187,Male,5 - Senior Officer,N,1,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,0,30 to 39,30,China,Asia Pacific,Elsewhere,01-04-2017,3,0.006022379
188,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.571804418
189,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.12759577
190,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,30 to 39,33,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.909812182
191,Male,5 - Senior Officer,N,3,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,3,5 - Senior Officer,N,3,60 to 69,62,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.55533521
192,Male,2 - Director,Y,0,No,No,0.5,No,N,Operations,not leave,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,0,NA,N,0,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.886716535
193,Male,4 - Manager,N,3,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,9,4 - Manager,N,3,20 to 29,25,France,Europe,Europe,01-04-2011,9,0.664922133
194,Female,6 - Junior Officer,Y,0,No,No,0.5,No,N,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.778146814
195,Male,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,2,5 - Senior Officer,N,2,30 to 39,30,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.100473164
196,Male,3 - Senior Manager,Y,0,No,No,0.5,No,N,Operations,not leave,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,40 to 49,40,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.074262519
197,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Finance,not leave,6 - Junior Officer,Finance,Full Time,Full Time,Inconclusive,6 - Junior Officer & Finance,Even,6 - Junior Officer,5,6 - Junior Officer,N,2,20 to 29,23,France,Europe,Europe,01-04-2015,5,0.210105989
198,Female,6 - Junior Officer,N,2,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,1,6 - Junior Officer,N,0,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.331551126
199,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.315456098
200,Male,5 - Senior Officer,N,3,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,4,5 - Senior Officer,N,3,40 to 49,41,Italy,Europe,Europe,01-04-2011,9,0.007879253
201,Female,5 - Senior Officer,Y,0,No,No,0.5,No,N,HR,not leave,5 - Senior Officer,HR,0.6,Part Time,Inconclusive,5 - Senior Officer & HR,Even,5 - Senior Officer,0,NA,N,0,30 to 39,33,France,Europe,Europe,01-04-2020,0,0.338981706
202,Male,4 - Manager,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,3,4 - Manager,N,2,30 to 39,34,United States,Americas,Elsewhere,01-04-2012,8,0.141041402
203,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,Germany,Europe,Europe,01-04-2019,1,0.907145923
204,Male,6 - Junior Officer,Y,0,No,No,0.5,No,N,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.488176107
205,Male,3 - Senior Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,40 to 49,40,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.58844507
206,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Finance,not leave,4 - Manager,Finance,Full Time,Full Time,Inconclusive,4 - Manager & Finance,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,36,United Kingdom,Europe,Europe,01-04-2015,5,0.728803677
207,Male,2 - Director,Y,0,No,No,0.5,No,N,Internal Services,not leave,2 - Director,Internal Services,Full Time,Full Time,Inconclusive,2 - Director & Internal Services,Uneven - Men benefit,2 - Director,0,NA,N,0,30 to 39,38,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.570082447
208,Female,6 - Junior Officer,N,1,No,Yes,0.5,No,Y,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.249353555
209,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,28,Germany,Europe,Europe,01-04-2017,3,0.90979662
210,Female,4 - Manager,N,0,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,3,4 - Manager,N,2,50 to 59,51,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.259379232
211,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,21,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.34709743
212,Male,5 - Senior Officer,Y,0,No,No,0.5,No,N,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,0,NA,N,0,20 to 29,27,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.589685464
213,Female,2 - Director,N,4,No,Yes,0.5,No,Y,HR,not leave,2 - Director,HR,Full Time,Full Time,Inconclusive,2 - Director & HR,Uneven - Men benefit,2 - Director,3,2 - Director,N,2,40 to 49,44,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.2675133
214,Female,6 - Junior Officer,Y,0,No,No,0.5,No,N,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,0,NA,N,0,20 to 29,28,France,Europe,Europe,01-04-2020,0,0.210328389
215,Male,4 - Manager,N,1,Yes,Yes,0.5,No,Y,Operations,not leave,3 - Senior Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,3,4 - Manager,N,3,30 to 39,37,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.273063373
216,Female,5 - Senior Officer,N,0,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,3,5 - Senior Officer,N,2,40 to 49,44,France,Europe,Europe,01-04-2011,9,0.351420807
217,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.329474269
218,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.623516901
219,Female,3 - Senior Manager,Y,0,No,No,0.5,No,N,Operations,not leave,3 - Senior Manager,Operations,Full Time,Full Time,Even,3 - Senior Manager & Operations,Uneven - Men benefit,3 - Senior Manager,0,NA,N,0,30 to 39,36,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.606354759
220,Male,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,4,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,01-04-2011,9,0.603929376
221,Female,5 - Senior Officer,Y,0,No,No,0.5,No,N,Strategy,not leave,5 - Senior Officer,Strategy,Full Time,Full Time,Inconclusive,5 - Senior Officer & Strategy,Even,5 - Senior Officer,0,NA,N,0,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.2667503
222,Male,2 - Director,N,3,Yes,Yes,0.5,No,Y,Sales & Marketing,not leave,1 - Executive,Sales & Marketing,Full Time,Full Time,Inconclusive,2 - Director & Sales & Marketing,Uneven - Men benefit,2 - Director,6,2 - Director,N,3,30 to 39,39,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.12903646
223,Female,5 - Senior Officer,N,0,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,5,5 - Senior Officer,N,3,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.177834367
224,Male,3 - Senior Manager,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,2,3 - Senior Manager,N,3,40 to 49,46,Germany,Europe,Europe,01-04-2011,9,0.810618309
225,Male,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,20 to 29,25,Romania,Europe,Europe,01-04-2014,6,0.476927196
226,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,3,6 - Junior Officer,N,2,20 to 29,21,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.540135813
227,Male,4 - Manager,N,3,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,3,4 - Manager,N,2,40 to 49,43,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.983398265
228,Male,5 - Senior Officer,N,2,Yes,Yes,0.5,No,Y,Internal Services,not leave,4 - Manager,Internal Services,Full Time,Full Time,Even,5 - Senior Officer & Internal Services,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.927199665
229,Male,3 - Senior Manager,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,3 - Senior Manager,Internal Services,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Internal Services,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,2,30 to 39,35,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.218067098
230,Female,6 - Junior Officer,N,2,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,2,6 - Junior Officer,N,3,40 to 49,42,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.570644499
231,Male,3 - Senior Manager,N,3,No,Yes,0.5,No,Y,Finance,not leave,3 - Senior Manager,Finance,Full Time,Full Time,Inconclusive,3 - Senior Manager & Finance,Uneven - Men benefit,3 - Senior Manager,3,3 - Senior Manager,N,3,30 to 39,39,France,Europe,Europe,01-04-2016,4,0.851851811
232,Female,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,30 to 39,34,Spain,Europe,Europe,01-04-2017,3,0.190556633
233,Female,6 - Junior Officer,Y,0,No,No,0.5,No,N,Strategy,not leave,6 - Junior Officer,Strategy,0.8,Part Time,Inconclusive,6 - Junior Officer & Strategy,Even,6 - Junior Officer,0,NA,N,0,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2020,0,0.294364703
234,Female,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,2,20 to 29,29,Germany,Europe,Europe,01-04-2018,2,0.859424634
235,Male,4 - Manager,N,3,No,Yes,0.5,No,Y,Internal Services,not leave,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,2,4 - Manager,N,3,30 to 39,32,Switzerland,Switzerland,Switzerland,01-04-2014,6,0.176434832
236,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,6 - Junior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.219593671
237,Female,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,30 to 39,31,Switzerland,Switzerland,Switzerland,01-04-2016,4,0.933139389
238,Female,6 - Junior Officer,Y,0,No,No,0.5,No,N,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,0,NA,N,0,20 to 29,22,France,Europe,Europe,01-04-2020,0,0.356964343
239,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,4 - Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,4 - Manager & Sales & Marketing,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,36,Italy,Europe,Europe,01-04-2014,6,0.313894139
240,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,4,6 - Junior Officer,N,3,20 to 29,27,Italy,Europe,Europe,01-04-2016,4,0.020523661
241,Female,4 - Manager,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,4 - Manager,Internal Services,Full Time,Full Time,Even,4 - Manager & Internal Services,Even,4 - Manager,2,4 - Manager,N,2,30 to 39,38,Germany,Europe,Europe,01-04-2018,2,0.128974809
242,Male,5 - Senior Officer,N,3,No,No,0.5,Yes,Y,Internal Services,FY20,not promotion,Internal Services,Full Time,Full Time,NA,NA,NA,NA,3,5 - Senior Officer,N,3,30 to 39,37,France,Europe,Europe,01-04-2017,3,0.847778292
243,Male,2 - Director,N,3,No,Yes,0.5,No,Y,Operations,not leave,2 - Director,Operations,Full Time,Full Time,Even,2 - Director & Operations,Uneven - Men benefit,2 - Director,1,3 - Senior Manager,Y,2,40 to 49,42,Switzerland,Switzerland,Switzerland,01-04-2013,7,0.609368229
244,Male,3 - Senior Manager,N,2,No,Yes,0.5,No,Y,Sales & Marketing,not leave,3 - Senior Manager,Sales & Marketing,Full Time,Full Time,Uneven - Men benefit,3 - Senior Manager & Sales & Marketing,Uneven - Men benefit,3 - Senior Manager,4,3 - Senior Manager,N,4,40 to 49,41,United Kingdom,Europe,Europe,01-04-2011,9,0.246451105
245,Female,5 - Senior Officer,N,2,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,0.7,Part Time,NA,NA,NA,NA,5,5 - Senior Officer,N,3,40 to 49,49,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.922646697
246,Male,6 - Junior Officer,N,3,No,No,0.5,Yes,Y,Sales & Marketing,FY20,not promotion,Sales & Marketing,Full Time,Full Time,NA,NA,NA,NA,5,6 - Junior Officer,N,3,20 to 29,25,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.196425082
247,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,22,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.068450579
248,Male,4 - Manager,N,2,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,1,5 - Senior Officer,Y,1,30 to 39,30,Spain,Europe,Europe,01-04-2012,8,0.404050869
249,Male,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,21,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.877528177
250,Male,6 - Junior Officer,N,2,No,No,0.5,Yes,Y,Operations,FY20,not promotion,Operations,Full Time,Full Time,NA,NA,NA,NA,5,6 - Junior Officer,N,2,20 to 29,24,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.167221575
251,Male,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,6 - Junior Officer & Sales & Marketing,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.10046817
252,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,27,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.561539579
253,Male,6 - Junior Officer,N,4,No,Yes,0.5,No,Y,Finance,not leave,6 - Junior Officer,Finance,Full Time,Full Time,Inconclusive,6 - Junior Officer & Finance,Even,6 - Junior Officer,5,6 - Junior Officer,N,2,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.32166862
254,Female,6 - Junior Officer,N,2,No,Yes,0.5,No,Y,Internal Services,not leave,6 - Junior Officer,Internal Services,Full Time,Full Time,Even,6 - Junior Officer & Internal Services,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.604317824
255,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,26,Switzerland,Switzerland,Switzerland,01-04-2019,1,0.753534386
256,Female,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,3,5 - Senior Officer,N,3,20 to 29,29,Germany,Europe,Europe,01-04-2015,5,0.179451157
257,Male,1 - Executive,N,0,No,No,0.5,No,Y,Strategy,not leave,1 - Executive,Strategy,Full Time,Full Time,NA,NA,NA,NA,3,1 - Executive,N,3,40 to 49,43,Switzerland,Switzerland,Switzerland,01-04-2011,9,0.952700384
258,Male,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,2,6 - Junior Officer,N,3,20 to 29,26,France,Europe,Europe,01-04-2018,2,0.642276662
259,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,HR,not leave,6 - Junior Officer,HR,Full Time,Full Time,Inconclusive,6 - Junior Officer & HR,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.031778421
260,Male,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Sales & Marketing,not leave,5 - Senior Officer,Sales & Marketing,Full Time,Full Time,Even,5 - Senior Officer & Sales & Marketing,Even,5 - Senior Officer,2,5 - Senior Officer,N,3,20 to 29,28,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.562024634
261,Female,4 - Manager,N,2,No,Yes,0.5,No,Y,HR,not leave,4 - Manager,HR,Full Time,Full Time,Inconclusive,4 - Manager & HR,Even,4 - Manager,7,4 - Manager,N,3,30 to 39,39,France,Europe,Europe,01-04-2013,7,0.433009437
262,Male,2 - Director,N,2,No,Yes,0.5,No,Y,Finance,not leave,2 - Director,Finance,Full Time,Full Time,Inconclusive,2 - Director & Finance,Uneven - Men benefit,2 - Director,1,3 - Senior Manager,Y,2,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2015,5,0.002035028
263,Male,5 - Senior Officer,Y,0,No,No,0.5,No,N,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,0,NA,N,0,20 to 29,27,Austria,Europe,Europe,01-04-2020,0,0.269462367
264,Male,6 - Junior Officer,N,2,Yes,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,1,6 - Junior Officer,N,0,20 to 29,28,France,Europe,Europe,01-04-2019,1,0.490487515
265,Female,4 - Manager,N,2,No,Yes,0.5,No,Y,Operations,not leave,4 - Manager,Operations,Full Time,Full Time,Even,4 - Manager & Operations,Even,4 - Manager,2,4 - Manager,N,3,40 to 49,41,Switzerland,Switzerland,Switzerland,01-04-2012,8,0.92322028
266,Female,5 - Senior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,5 - Senior Officer,Operations,0.8,Part Time,Even,5 - Senior Officer & Operations,Even,5 - Senior Officer,2,5 - Senior Officer,N,2,30 to 39,32,Switzerland,Switzerland,Switzerland,01-04-2018,2,0.836604305
267,Female,5 - Senior Officer,N,2,No,Yes,0.5,No,Y,Finance,not leave,5 - Senior Officer,Finance,Full Time,Full Time,Inconclusive,5 - Senior Officer & Finance,Even,5 - Senior Officer,1,6 - Junior Officer,Y,1,20 to 29,29,Switzerland,Switzerland,Switzerland,01-04-2017,3,0.358921536
268,Female,6 - Junior Officer,N,3,No,Yes,0.5,No,Y,Operations,not leave,6 - Junior Officer,Operations,Full Time,Full Time,Even,6 - Junior Officer & Operations,Even,6 - Junior Officer,3,6 - Junior Officer,N,3,20 to 29,23,France,Europe,Europe,01-04-2017,3,0.564472108
